Extension Name,Functions,Types,Index Access Methods,Storage Managers,Client Authentication,Query Processing,Utility Commands,Number of Components
pg_jobmon,Yes,No,No,No,No,No,No,1
pg_journal,No,No,No,No,No,No,Yes,1
pg_kaboom,Yes,No,No,No,No,No,No,1
pg_lambda,Yes,No,No,No,No,No,No,1
pg_later,Yes,No,No,No,No,No,No,1
pg_libphonenumber,Yes,Yes,Yes,No,No,No,No,3
pg_log,Yes,No,No,No,No,No,No,1
pg_log_statements,Yes,No,No,No,Yes,Yes,Yes,4
pg_log_userqueries,No,No,No,No,No,Yes,Yes,2
pg_logqueryid,No,No,No,No,No,Yes,No,1
pg_luhn,Yes,No,No,No,No,No,No,1
pg_median_utils,Yes,No,No,No,No,No,No,1
pg_memorycontext,Yes,No,No,No,No,No,No,1
pg_message_queue,Yes,No,No,No,No,No,No,1
pg_metricus,Yes,No,No,No,No,No,No,1
pg_migrate,Yes,Yes,No,No,No,No,No,2
pg_mockable,Yes,Yes,No,No,No,No,No,2
pg_monitoring,Yes,No,No,No,No,No,No,1
pg_mupdf,Yes,No,No,No,No,No,No,1
pg_mustach,Yes,No,No,No,No,No,No,1
pg_natural_sort_order,Yes,No,No,No,No,No,No,1
pg_part,Yes,No,No,No,No,No,No,1
pg_partman,Yes,Yes,No,No,No,No,No,2
pg_pathman,Yes,No,No,No,No,Yes,Yes,3
pg_permission,Yes,Yes,No,No,No,No,No,2
pg_plpgsql_ext,Yes,No,No,No,No,No,No,1
pg_plugins,Yes,No,No,Yes,Yes,Yes,Yes,5
pg_prewarm,Yes,No,No,No,No,No,No,1
pg_procfs,Yes,No,No,No,No,No,No,1
pg_proctab,Yes,No,No,No,No,No,No,1
pg_py_ext,Yes,No,No,No,No,No,No,1
pg_qualstats,Yes,Yes,No,No,No,Yes,No,3
pg_query_rewrite,Yes,No,No,No,No,Yes,No,2
pg_queryid,Yes,No,No,No,No,Yes,No,2
pg_querylog,Yes,Yes,No,No,No,Yes,No,3
pg_rand_ext,Yes,No,No,No,No,No,No,1
pg_readme,Yes,Yes,No,No,No,No,No,2
pg_readonly,Yes,No,No,No,No,Yes,No,2
pg_repack,Yes,Yes,No,No,No,No,No,2
pg_roaringbitmap,Yes,Yes,No,No,No,No,No,2
pg_role_fkey_trigger_functions,Yes,No,No,No,No,No,No,1
pg_rowalesce,Yes,Yes,No,No,No,No,No,2
pg_safer_settings,Yes,No,No,No,No,No,No,1
pg_sample_ext,Yes,Yes,No,No,No,No,No,2
pg_sampletolog,No,No,No,No,No,Yes,Yes,2
pg_sessions,Yes,No,No,No,No,Yes,Yes,3
pg_set_acl,Yes,No,No,No,No,No,Yes,2
pg_set_level,No,No,No,No,Yes,No,Yes,2
pg_shard,Yes,No,No,No,No,Yes,Yes,3
pg_show_plans,Yes,No,No,No,No,No,No,1
pg_similarity,Yes,No,Yes,No,No,No,No,2
pg_sqlog,Yes,Yes,No,No,No,No,No,2
pg_squeeze,Yes,Yes,No,No,No,No,Yes,3
pg_stat_kcache,Yes,No,No,No,No,Yes,No,2
pg_stat_monitor,Yes,No,No,No,Yes,Yes,Yes,4
pg_stat_statements,Yes,No,No,No,No,Yes,Yes,3
pg_statsd,Yes,No,No,No,No,No,No,1
pg_statviz,Yes,No,No,No,No,No,No,1
pg_strom,Yes,Yes,Yes,Yes,Yes,Yes,No,6
pg_surgery,Yes,No,No,No,No,No,No,1
pg_systat,No,No,No,No,No,No,No,0
pg_task,No,No,No,No,No,No,Yes,1
pg_text_semver,Yes,Yes,Yes,No,No,No,No,3
pg_thud,Yes,Yes,No,No,No,No,No,2
